PLA_type,  MLO_phr,  wool_phr,  ca_phr,  ca_type,tensile strength,elongation at brake,Young modulus,Flexural resistance,Flexural modulus,  hardness,  impact,PLA Tg,PLA Tcc,PLA Tm,PLA Xc%,T5,Tmax,Mass loss 300,Mass loss 350
6210D,10,10, 0, 0, 25.67, 12.14, 1752.3, 35.1, 2440.9,75, 11,60.4,104.1,169.8,21.40,297.3,358.3,5.30,37.80
6210D,10,10, 0, 0, 21.15, 8.57, 1613.2, 30.6, 2352,79, 11.5,59.6,102.8,168.4,19.00,293.3,357.7,4.60,36.70
6210D,10,10, 0, 0, 26.74, 8.57, 1929.1, 31.4, 2651.5,75, 9,61.2,105.4,171.2,23.80,301.3,358.9,6.00,38.90
6210D,10,10, 0, 0, 24.16, 6.49, 1564.2, 35.1, 2440.9,78, 10.75,60.4,104.1,169.8,21.40,297.3,358.3,5.30,37.80
6210D,10,10, 0, 0, 23.15, 6.74, 1459.1, 30.6, 2352,78, 11.75,59.6,102.8,168.4,19.00,293.3,357.7,4.60,36.70
6210D,10,10, 0, 0, 25.67, 12.14, 1752.3, 31.4, 2651.5,73, 11,61.2,105.4,171.2,23.80,301.3,358.9,6.00,38.90
6210D,10,10, 0, 0, 21.15, 8.57, 1613.2, 35.1, 2440.9,76, 11.5,60.4,104.1,169.8,21.40,297.3,358.3,5.30,37.80
6210D,10,10, 0, 0, 26.74, 8.57, 1929.1, 30.6, 2352,77, 9,59.6,102.8,168.4,19.00,293.3,357.7,4.60,36.70
6210D,10,10, 0, 0, 24.16, 6.49, 1564.2, 31.4, 2651.5,79, 10.75,61.2,105.4,171.2,23.80,301.3,358.9,6.00,38.90
6210D,10,10, 0, 0, 23.15, 6.74, 1459.1, 32.4, 2481.5,79, 11.75,60.4,104.1,169.8,21.40,297.3,358.3,5.30,37.80
6210D,10,10, 1, c, 24.85, 11.8, 1823.9, 33, 2567.5,78, 13,60.8,107.4,170.4,15.80,296.7,357.3,4.60,36.90
6210D,10,10, 1, c, 22.28, 10.14, 1622.3, 33.4, 2167.4,77, 10.5,60.3,105.7,169.3,13.80,289.1,356.7,3.10,35.30
6210D,10,10, 1, c, 25.03, 8.43, 1827.8, 35.1, 2431.7,76, 11.5,61.3,109.1,171.5,17.80,304.3,357.9,6.10,38.50
6210D,10,10, 1, c, 23.81, 8.97, 1718.1, 33, 2567.5,76, 13,60.8,107.4,170.4,15.80,296.7,357.3,4.60,36.90
6210D,10,10, 1, c, 22.33, 11.17, 1308.4, 33.4, 2167.4,78, 10.75,60.3,105.7,169.3,13.80,289.1,356.7,3.10,35.30
6210D,10,10, 1, c, 24.85, 11.8, 1823.9, 35.1, 2431.7,78, 13,61.3,109.1,171.5,17.80,304.3,357.9,6.10,38.50
6210D,10,10, 1, c, 22.28, 10.14, 1622.3, 33, 2567.5,76, 10.5,60.8,107.4,170.4,15.80,296.7,357.3,4.60,36.90
6210D,10,10, 1, c, 25.03, 8.43, 1827.8, 33.4, 2167.4,79, 11.5,60.3,105.7,169.3,13.80,289.1,356.7,3.10,35.30
6210D,10,10, 1, c, 23.81, 8.97, 1718.1, 35.1, 2431.7,78, 13,61.3,109.1,171.5,17.80,304.3,357.9,6.10,38.50
6210D,10,10, 1, c, 22.33, 11.17, 1308.4, 33.8, 2388.9,78, 10.75,60.8,107.4,170.4,15.80,296.7,357.3,4.60,36.90
6210D,10,10, 2.5, c, 25.9, 12.6, 1835.2, 40.9, 2568.8,78, 11.25,60.4,107.1,169.6,15.30,293.0,360.0,5.80,36.00
6210D,10,10, 2.5, c, 24.76, 12.97, 1360.5, 37, 2443,78, 12.5,60.3,104.6,168.7,14.60,287.8,359.0,5.00,35.00
6210D,10,10, 2.5, c, 25.64, 9.6, 1675.7, 36.3, 2338.2,77, 11.25,60.5,109.6,170.5,16.00,298.3,361.0,6.60,37.00
6210D,10,10, 2.5, c, 30.93, 14.57, 1962.7, 40.9, 2568.8,77, 14.25,60.4,107.1,169.6,15.30,293.0,360.0,5.80,36.00
6210D,10,10, 2.5, c, 26.55, 12.26, 1443, 37, 2443,78, 10.75,60.3,104.6,168.7,14.60,287.8,359.0,5.00,35.00
6210D,10,10, 2.5, c, 25.9, 12.6, 1835.2, 36.3, 2338.2,79, 11.25,60.5,109.6,170.5,16.00,298.3,361.0,6.60,37.00
6210D,10,10, 2.5, c, 24.76, 12.97, 1360.5, 40.9, 2568.8,79, 12.5,60.4,107.1,169.6,15.30,293.0,360.0,5.80,36.00
6210D,10,10, 2.5, c, 25.64, 9.6, 1675.7, 37, 2443,76, 11.25,60.3,104.6,168.7,14.60,287.8,359.0,5.00,35.00
6210D,10,10, 2.5, c, 30.93, 14.57, 1962.7, 36.3, 2338.2,78, 14.25,60.5,109.6,170.5,16.00,298.3,361.0,6.60,37.00
6210D,10,10, 2.5, c, 26.55, 12.26, 1443, 38.1, 2450,77, 10.75,60.4,107.1,169.6,15.30,293.0,360.0,5.80,36.00
